"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","value","task","sentence_first","sentence_second","presentation_index","rt_ms","sentence","catch_index","sentence_position","catch_type","response_label","correct_response","correct"
"11103","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Erik vient d'acheter des sneakers super rares et il a hâte de voir la tête de ses amis quand il leur dira ce soir.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Les amis d'Erik adorent sa nouvelle paire et le complimentent sur son goût.</div>
          </div>
        "," ","html-keyboard-response","14","151348","0.0-7.0-7.0","","reading","Erik vient d'acheter des sneakers super rares et il a hâte de voir la tête de ses amis quand il leur dira ce soir.","Les amis d'Erik adorent sa nouvelle paire et le complimentent sur son goût.","3","11103","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","15","153349","0.0-7.0-8.0","","","","","","","","","","","","",""
"8527","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Il est 4 heures du matin et John est sur le point de s'endormir lorsqu'il entend des coups de feu.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il sursaute de son lit et regarde par sa fenêtre.</div>
          </div>
        "," ","html-keyboard-response","16","161876","0.0-7.0-9.0","","reading","Il est 4 heures du matin et John est sur le point de s'endormir lorsqu'il entend des coups de feu.","Il sursaute de son lit et regarde par sa fenêtre.","4","8527","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","17","163877","0.0-7.0-10.0","","","","","","","","","","","","",""
"18032","
          <div class=""sentence-container"">
            <div class=""sentence-text"">La valise de Marco, contenant tous ses habits favoris, a été perdue lors de son voyage en avion.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Marco reçoit un appel de la compagnie aérienne lui disant qu'ils sont dans l'incapacité de trouver sa valise et qu'il sera remboursé à la hauteur de 300 euros pour les dommages occasionnés.</div>
          </div>
        "," ","html-keyboard-response","18","181909","0.0-7.0-11.0","","reading","La valise de Marco, contenant tous ses habits favoris, a été perdue lors de son voyage en avion.","Marco reçoit un appel de la compagnie aérienne lui disant qu'ils sont dans l'incapacité de trouver sa valise et qu'il sera remboursé à la hauteur de 300 euros pour les dommages occasionnés.","5","18032","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","19","183906","0.0-7.0-12.0","","","","","","","","","","","","",""
"11807","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Magnus doit rejoindre son ami pour prendre un café, il décide de regarder l'heure sur son portable.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Magnus sort son téléphone mais sa batterie est à plat.</div>
          </div>
        "," ","html-keyboard-response","20","195713","0.0-7.0-13.0","","reading","Magnus doit rejoindre son ami pour prendre un café, il décide de regarder l'heure sur son portable.","Magnus sort son téléphone mais sa batterie est à plat.","6","11807","","","","","","",""
"11455","
        <div style=""
          display: flex;
          flex-direction: column;
          align-items: center;
          justify-content: center;
          width: 90vw;
          max-width: 90vw;
          box-sizing: border-box;
          padding: 40px;
          word-wrap: break-word;
          overflow-wrap: break-word;
          white-space: normal;
        "">
          <div style=""
            font-family: 'Courier New', monospace;
            font-size: 40px;
            line-height: 2.2;
            letter-spacing: 2px;
            text-align: center;
            color: #111;
            width: 100%;
            word-wrap: break-word;
            overflow-wrap: break-word;
            white-space: normal;
          "">Avez-vous vu la phrase suivante ?<br><br><em>Magnus doit rejoindre son ami pour prendre un café, il décide de regarder l'heure sur son portable. Magnus sort son téléphone mais sa batterie est à plat.</em></div>

          <div style=""
            display: flex;
            flex-direction: row;
            gap: 80px;
            margin-top: 60px;
            font-family: 'Courier New', monospace;
            font-size: 28px;
            color: #333;
          "">
            <div style=""text-align:center;"">
              <div style=""font-size: 48px;"">↑</div>
              <div>Oui</div>
            </div>
            <div style=""text-align:center;"">
              <div style=""font-size: 48px;"">↓</div>
              <div>Non</div>
            </div>
          </div>
        </div>
      ","arrowdown","html-keyboard-response","21","207169","0.0-7.0-14.0","","catch","Magnus doit rejoindre son ami pour prendre un café, il décide de regarder l'heure sur son portable.","Magnus sort son téléphone mais sa batterie est à plat.","","","Magnus doit rejoindre son ami pour prendre un café, il décide de regarder l'heure sur son portable. Magnus sort son téléphone mais sa batterie est à plat.","0","7","seen","Non","Oui","false"
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","22","209170","0.0-7.0-15.0","","","","","","","","","","","","",""
"6943","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Lisa a travaillé assidûment pour sa thèse de master.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle a eu une très bonne note: 85% !</div>
          </div>
        "," ","html-keyboard-response","23","216113","0.0-7.0-16.0","","reading","Lisa a travaillé assidûment pour sa thèse de master.","Elle a eu une très bonne note: 85% !","7","6943","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","24","218114","0.0-7.0-17.0","","","","","","","","","","","","",""
"3807","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Bruno rentre chez lui.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il prend son bus.</div>
          </div>
        "," ","html-keyboard-response","25","221921","0.0-7.0-18.0","","reading","Bruno rentre chez lui.","Il prend son bus.","8","3807","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","26","223922","0.0-7.0-19.0","","","","","","","","","","","","",""
"10863","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Mike est dans un supermarché lorsqu'un homme cagoulé et armé crie: 'Tout le monde au sol, ceci est un hold-up !'</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Les jambes de Mike commencent à trembler.</div>
          </div>
        "," ","html-keyboard-response","27","234785","0.0-7.0-20.0","","reading","Mike est dans un supermarché lorsqu'un homme cagoulé et armé crie: 'Tout le monde au sol, ceci est un hold-up !'","Les jambes de Mike commencent à trembler.","9","10863","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","28","236786","0.0-7.0-21.0","","","","","","","","","","","","",""
"17295","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Il est 4 heures du matin et Mike s'apprête à aller dormir lorsque soudain il entend un homme crier 'Adieu monde cruel' suivi d'un bruit sourd.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Le souffle coupé, il se lève pour se rapprocher de sa fenêtre. Il a à peine le temps de se frotter les paupières qu'il voit son voisin étendu à terre, inerte.</div>
          </div>
        "," ","html-keyboard-response","29","254078","0.0-7.0-22.0","","reading","Il est 4 heures du matin et Mike s'apprête à aller dormir lorsque soudain il entend un homme crier 'Adieu monde cruel' suivi d'un bruit sourd.","Le souffle coupé, il se lève pour se rapprocher de sa fenêtre. Il a à peine le temps de se frotter les paupières qu'il voit son voisin étendu à terre, inerte.","10","17295","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","30","256079","0.0-7.0-23.0","","","","","","","","","","","","",""
"14479","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Bertrand a joué à la loterie en utilisant ses numéros favoris pour tenter de gagner le jackpot de 4 000 000 €.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il essaie de regarder le tirage de la loterie à la télé, mais il n'y a pas de signal.</div>
          </div>
        "," ","html-keyboard-response","31","270558","0.0-7.0-24.0","","reading","Bertrand a joué à la loterie en utilisant ses numéros favoris pour tenter de gagner le jackpot de 4 000 000 €.","Il essaie de regarder le tirage de la loterie à la télé, mais il n'y a pas de signal.","11","14479","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","32","272559","0.0-7.0-25.0","","","","","","","","","","","","",""
"15247","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Emmanuel est supposé rejoindre son ami pour prendre un verre d'ici peu, donc il décide de vérifier l'heure qu'il est sur son téléphone.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il est 16h30. Vite ! Il ne lui reste plus que 10 minutes pour le rejoindre.</div>
          </div>
        "," ","html-keyboard-response","33","287806","0.0-7.0-26.0","","reading","Emmanuel est supposé rejoindre son ami pour prendre un verre d'ici peu, donc il décide de vérifier l'heure qu'il est sur son téléphone.","Il est 16h30. Vite ! Il ne lui reste plus que 10 minutes pour le rejoindre.","12","15247","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","34","289807","0.0-7.0-27.0","","","","","","","","","","","","",""
"7135","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Sam rentre à la maison.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il enlève sa veste.</div>
          </div>
        "," ","html-keyboard-response","35","296942","0.0-7.0-28.0","","reading","Sam rentre à la maison.","Il enlève sa veste.","13","7135","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","36","298943","0.0-7.0-29.0","","","","","","","","","","","","",""
"15327","
          <div class=""sentence-container"">
            <div class=""sentence-text"">La valise de Simon, contenant tous ses livres favoris, a été perdue par la compagnie aérienne lors de son dernier vol.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Simon commence à faire la queue pour réclamer sa valise aux objets trouvés.</div>
          </div>
        "," ","html-keyboard-response","37","314268","0.0-7.0-30.0","","reading","La valise de Simon, contenant tous ses livres favoris, a été perdue par la compagnie aérienne lors de son dernier vol.","Simon commence à faire la queue pour réclamer sa valise aux objets trouvés.","14","15327","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","38","316268","0.0-7.0-31.0","","","","","","","","","","","","",""
"6511","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Tyler adore les sneakers.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il décide d'en acheter une nouvelle paire.</div>
          </div>
        "," ","html-keyboard-response","39","322780","0.0-7.0-32.0","","reading","Tyler adore les sneakers.","Il décide d'en acheter une nouvelle paire.","15","6511","","","","","","",""
"4832","
        <div style=""
          display: flex;
          flex-direction: column;
          align-items: center;
          justify-content: center;
          width: 90vw;
          max-width: 90vw;
          box-sizing: border-box;
          padding: 40px;
          word-wrap: break-word;
          overflow-wrap: break-word;
          white-space: normal;
        "">
          <div style=""
            font-family: 'Courier New', monospace;
            font-size: 40px;
            line-height: 2.2;
            letter-spacing: 2px;
            text-align: center;
            color: #111;
            width: 100%;
            word-wrap: break-word;
            overflow-wrap: break-word;
            white-space: normal;
          "">Avez-vous vu la phrase suivante ?<br><br><em>Sam rentre à la maison. Il enlève sa veste.</em></div>

          <div style=""
            display: flex;
            flex-direction: row;
            gap: 80px;
            margin-top: 60px;
            font-family: 'Courier New', monospace;
            font-size: 28px;
            color: #333;
          "">
            <div style=""text-align:center;"">
              <div style=""font-size: 48px;"">↑</div>
              <div>Oui</div>
            </div>
            <div style=""text-align:center;"">
              <div style=""font-size: 48px;"">↓</div>
              <div>Non</div>
            </div>
          </div>
        </div>
      ","arrowup","html-keyboard-response","40","327612","0.0-7.0-33.0","","catch","Tyler adore les sneakers.","Il décide d'en acheter une nouvelle paire.","","","Sam rentre à la maison. Il enlève sa veste.","1","16","seen","Oui","Oui","true"
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","41","329612","0.0-7.0-34.0","","","","","","","","","","","","",""
"20576","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Clara est au centre-ville lorsque son père l'appelle, inquiet, en demandant si elle va bien car une fusillade a éclaté à la gare.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Clara essaie de le calmer et lui dit de la lâcher un peu. Il exagère toujours.</div>
          </div>
        "," ","html-keyboard-response","42","350188","0.0-7.0-35.0","","reading","Clara est au centre-ville lorsque son père l'appelle, inquiet, en demandant si elle va bien car une fusillade a éclaté à la gare.","Clara essaie de le calmer et lui dit de la lâcher un peu. Il exagère toujours.","16","20576","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","43","352188","0.0-7.0-36.0","","","","","","","","","","","","",""
"7903","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Alexandre joue à la loterie chaque semaine.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il achète toujours ses tickets chez le même vendeur.</div>
          </div>
        "," ","html-keyboard-response","44","360092","0.0-7.0-37.0","","reading","Alexandre joue à la loterie chaque semaine.","Il achète toujours ses tickets chez le même vendeur.","17","7903","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","45","362092","0.0-7.0-38.0","","","","","","","","","","","","",""
"13215","
          <div class=""sentence-container"">
            <div class=""sentence-text"">La maman de Kevin lui envoie un message en lui demandant ce qu'il voudrait manger pour le dîner.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il lui répond qu'il aimerait des lasagnes.</div>
          </div>
        "," ","html-keyboard-response","46","375305","0.0-7.0-39.0","","reading","La maman de Kevin lui envoie un message en lui demandant ce qu'il voudrait manger pour le dîner.","Il lui répond qu'il aimerait des lasagnes.","18","13215","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","47","377305","0.0-7.0-40.0","","","","","","","","","","","","",""
"12639","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Tom regarde un match de foot avec son équipe préférée, ils pourraient gagner la Champions League !</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Les deux équipes jouent aussi bien l'une que l'autre, le match est très serré.</div>
          </div>
        "," ","html-keyboard-response","48","389945","0.0-7.0-41.0","","reading","Tom regarde un match de foot avec son équipe préférée, ils pourraient gagner la Champions League !","Les deux équipes jouent aussi bien l'une que l'autre, le match est très serré.","19","12639","","","","","","",""
"55280","
          <div class=""instructions"">
            <h2>Pause — Recalibration</h2>
            <p>Nous allons recalibrer le suivi oculaire.</p>
            <p>Appuyez sur <strong>ESPACE</strong> pour lancer la recalibration.</p>
          </div>
        "," ","html-keyboard-response","49","445222","0.0-7.0-42.0","","","","","","","","","","","","",""
"","","","call-function","50","457653","0.0-7.0-43.0","","","","","","","","","","","","",""
"5152","
          <div class=""instructions"">
            <h2>Recalibration terminée</h2>
            <p>Appuyez sur <strong>ESPACE</strong> pour continuer la lecture.</p>
          </div>
        "," ","html-keyboard-response","51","462806","0.0-7.0-44.0","","","","","","","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","52","464806","0.0-7.0-45.0","","","","","","","","","","","","",""
"6591","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Lena fait son jogging dans un parc.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle croise beaucoup de gens qui font des pique-niques.</div>
          </div>
        "," ","html-keyboard-response","53","471398","0.0-7.0-46.0","","reading","Lena fait son jogging dans un parc.","Elle croise beaucoup de gens qui font des pique-niques.","20","6591","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","54","473399","0.0-7.0-47.0","","","","","","","","","","","","",""
"17695","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Mario est avec un ami lorsqu'ils croisent une fille avec qui ils sont sortis en soirée, mais il ne se rappelle plus son prénom.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">L'ami de Mario lui glisse discrètement à l'oreille qu'elle s'appelle Diana.</div>
          </div>
        "," ","html-keyboard-response","55","491094","0.0-7.0-48.0","","reading","Mario est avec un ami lorsqu'ils croisent une fille avec qui ils sont sortis en soirée, mais il ne se rappelle plus son prénom.","L'ami de Mario lui glisse discrètement à l'oreille qu'elle s'appelle Diana.","21","17695","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","56","493097","0.0-7.0-49.0","","","","","","","","","","","","",""
"7997","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Sam est sur Tinder.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il croise des profils différents et décide s'il souhaite les 'matcher'.</div>
          </div>
        "," ","html-keyboard-response","57","501091","0.0-7.0-50.0","","reading","Sam est sur Tinder.","Il croise des profils différents et décide s'il souhaite les 'matcher'.","22","7997","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","58","503092","0.0-7.0-51.0","","","","","","","","","","","","",""
"12351","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Comme chaque matin, Eva se promène lorsqu'elle entend une personne crier des mots dans une langue étrangère derrière elle.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle se retourne et voit qu'il s'agit d'un homme bourré qui se met à vomir sur le trottoir.</div>
          </div>
        "," ","html-keyboard-response","59","515443","0.0-7.0-52.0","","reading","Comme chaque matin, Eva se promène lorsqu'elle entend une personne crier des mots dans une langue étrangère derrière elle.","Elle se retourne et voit qu'il s'agit d'un homme bourré qui se met à vomir sur le trottoir.","23","12351","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","60","517444","0.0-7.0-53.0","","","","","","","","","","","","",""
"14272","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Simon est avec un ami lorsqu'il croise une fille avec qui ils ont fait la fête toute la nuit il y a quelques semaines.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Ils discutent de tout et de rien.</div>
          </div>
        "," ","html-keyboard-response","61","531715","0.0-7.0-54.0","","reading","Simon est avec un ami lorsqu'il croise une fille avec qui ils ont fait la fête toute la nuit il y a quelques semaines.","Ils discutent de tout et de rien.","24","14272","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","62","533716","0.0-7.0-55.0","","","","","","","","","","","","",""
"14831","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Nathan a joué à la loterie avec les mêmes numéros qu'il utilise à chaque fois. Cette semaine, il pourrait gagner 3 000 000 d'euros.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Nathan regarde ses numéros par rapport aux numéros gagnants... et c'est le jackpot !!! Il a tous les numéros gagnants, il est maintenant millionnaire !</div>
          </div>
        "," ","html-keyboard-response","63","548547","0.0-7.0-56.0","","reading","Nathan a joué à la loterie avec les mêmes numéros qu'il utilise à chaque fois. Cette semaine, il pourrait gagner 3 000 000 d'euros.","Nathan regarde ses numéros par rapport aux numéros gagnants... et c'est le jackpot !!! Il a tous les numéros gagnants, il est maintenant millionnaire !","25","14831","","","","","","",""
"18672","
        <div style=""
          display: flex;
          flex-direction: column;
          align-items: center;
          justify-content: center;
          width: 90vw;
          max-width: 90vw;
          box-sizing: border-box;
          padding: 40px;
          word-wrap: break-word;
          overflow-wrap: break-word;
          white-space: normal;
        "">
          <div style=""
            font-family: 'Courier New', monospace;
            font-size: 40px;
            line-height: 2.2;
            letter-spacing: 2px;
            text-align: center;
            color: #111;
            width: 100%;
            word-wrap: break-word;
            overflow-wrap: break-word;
            white-space: normal;
          "">Avez-vous vu la phrase suivante ?<br><br><em>Mario est avec un ami lorsqu'ils croisent une fille avec qui ils sont sortis en soirée, mais il ne se rappelle plus son prénom. L'ami de Mario lui glisse discrètement à l'oreille qu'elle s'appelle Diana.</em></div>

          <div style=""
            display: flex;
            flex-direction: row;
            gap: 80px;
            margin-top: 60px;
            font-family: 'Courier New', monospace;
            font-size: 28px;
            color: #333;
          "">
            <div style=""text-align:center;"">
              <div style=""font-size: 48px;"">↑</div>
              <div>Oui</div>
            </div>
            <div style=""text-align:center;"">
              <div style=""font-size: 48px;"">↓</div>
              <div>Non</div>
            </div>
          </div>
        </div>
      ","arrowup","html-keyboard-response","64","567217","0.0-7.0-57.0","","catch","Nathan a joué à la loterie avec les mêmes numéros qu'il utilise à chaque fois. Cette semaine, il pourrait gagner 3 000 000 d'euros.","Nathan regarde ses numéros par rapport aux numéros gagnants... et c'est le jackpot !!! Il a tous les numéros gagnants, il est maintenant millionnaire !","","","Mario est avec un ami lorsqu'ils croisent une fille avec qui ils sont sortis en soirée, mais il ne se rappelle plus son prénom. L'ami de Mario lui glisse discrètement à l'oreille qu'elle s'appelle Diana.","2","26","seen","Oui","Oui","true"
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","65","569217","0.0-7.0-58.0","","","","","","","","","","","","",""
"14975","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Adrien est réveillé par son chien qui aboie en pleine nuit. Il est surpris car son chien n'aboie jamais.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il se dit qu'il devrait descendre vérifier ce qu'il se passe mais il est trop fatigué. Il retourne donc dormir, tant pis si ce sont des voleurs.</div>
          </div>
        "," ","html-keyboard-response","66","584193","0.0-7.0-59.0","","reading","Adrien est réveillé par son chien qui aboie en pleine nuit. Il est surpris car son chien n'aboie jamais.","Il se dit qu'il devrait descendre vérifier ce qu'il se passe mais il est trop fatigué. Il retourne donc dormir, tant pis si ce sont des voleurs.","26","14975","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","67","586193","0.0-7.0-60.0","","","","","","","","","","","","",""
"11695","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Irene aimerait voyager, mais ne sachant pas où aller, elle décide de demander conseil à une agence de voyages.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">L'agent lui dit qu'il y a des promotions intéressantes pour Malaga, Barcelone et Rome.</div>
          </div>
        "," ","html-keyboard-response","68","597889","0.0-7.0-61.0","","reading","Irene aimerait voyager, mais ne sachant pas où aller, elle décide de demander conseil à une agence de voyages.","L'agent lui dit qu'il y a des promotions intéressantes pour Malaga, Barcelone et Rome.","27","11695","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","69","599889","0.0-7.0-62.0","","","","","","","","","","","","",""
"11935","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Olivia fait un tour touristique lorsque quelque chose de mouillé tombe sur sa tête.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle touche ses cheveux et comprend qu'un pigeon lui a déféqué dessus.</div>
          </div>
        "," ","html-keyboard-response","70","611825","0.0-7.0-63.0","","reading","Olivia fait un tour touristique lorsque quelque chose de mouillé tombe sur sa tête.","Elle touche ses cheveux et comprend qu'un pigeon lui a déféqué dessus.","28","11935","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","71","613825","0.0-7.0-64.0","","","","","","","","","","","","",""
"8687","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Mina vient de marcher sur quelque chose de collant.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle regarde sous sa chaussure et voit qu'un chewing-gum est collé à sa semelle.</div>
          </div>
        "," ","html-keyboard-response","72","622510","0.0-7.0-65.0","","reading","Mina vient de marcher sur quelque chose de collant.","Elle regarde sous sa chaussure et voit qu'un chewing-gum est collé à sa semelle.","29","8687","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","73","624510","0.0-7.0-66.0","","","","","","","","","","","","",""
