presentation_index,part_nr,line_idx,text,top,bottom,left,right
71,1,1,entend quelqu'un chanter bruyamment.,412,500,492,1428
71,2,0,"Elle regarde derrière elle pour comprendre d'où vient cette voix,",580,668,115,1805
71,2,1,mais ne voit que des enfants aux alentours.,668,756,401,1519
72,1,0,Elena fait du tourisme lorsqu'elle sent quelque chose de chaud,368,456,154,1766
72,1,1,tomber sur son épaule.,456,544,674,1246
72,2,0,Elle regarde son épaule mais il n'y a rien dessus.,624,712,310,1610
73,1,0,Mady fait la fête au centre-ville.,412,500,518,1402
73,2,0,Elle voit beaucoup de personnes qui consomment de l'alcool.,580,668,193,1727
74,1,0,Theo prend l'avion pour partir en vacances.,412,500,401,1519
74,2,0,Il a préparé une grande valise avec tous ses habits préférés.,580,668,167,1753
75,1,0,Emma se balade dans la rue.,412,500,609,1311
75,2,0,Elle porte des chaussures bleues.,580,668,531,1389
76,1,0,Julie reçoit un appel de l'hôpital pour lui rappeler qu'elle a un,368,456,115,1805
76,1,1,rendez-vous avec son dentiste.,456,544,570,1350
76,2,0,Julie remercie le réceptionniste pour ce rappel.,624,712,336,1584
77,1,0,Jim habite seul et il rentre tous les jours du travail à 19h. Mais,236,324,102,1818
77,1,1,"vendredi dernier, en passant le seuil de sa porte, un bruit",324,412,193,1727
77,1,2,inquiétant venant de l'étage l'a surpris.,412,500,427,1493
77,2,0,"Après avoir monté les escaliers en courant, il découvre qu'un",580,668,167,1753
77,2,1,oiseau s'est introduit dans sa chambre par la fenêtre et a détruit,668,756,102,1818
77,2,2,son vase préféré.,756,844,739,1181
78,1,0,La maman d'Ethan lui envoie un message en disant qu'elle va lui,324,412,141,1779
78,1,1,préparer un bon repas.,412,500,674,1246
78,2,0,"Curieux, Ethan essaye de l'appeler pour en savoir plus mais son",580,668,141,1779
78,2,1,téléphone s'éteint.,668,756,713,1207
79,1,0,Kevin est un fervent supporter de l'équipe nationale de football.,368,456,115,1805
79,2,0,Il regarde tous les matchs et connaît les particularités de chaque,536,624,102,1818
79,2,1,joueur.,624,712,869,1051
80,1,0,Sara marche vers chez elle au milieu de la nuit.,412,500,336,1584
80,2,0,Des voitures passent le long de la rue.,580,668,453,1467
81,1,0,Soline a travaillé d'arrache-pied sur son devoir le mois passé.,324,412,141,1779
81,1,1,Elle se rend en classe et espère recevoir une très bonne note.,412,500,154,1766
81,2,0,Son professeur lui dit qu'il n'a pas encore fini de corriger les,580,668,128,1792
81,2,1,devoirs.,668,756,856,1064
82,1,0,Nelly aimerait adopter un chaton et elle espère en trouver un au,324,412,128,1792
82,1,1,refuge de la ville.,412,500,713,1207
82,2,0,"Lorsqu'elle arrive au refuge, Nelly identifie immédiatement le",580,668,154,1766
82,2,1,chaton de ses rêves: un tout noir avec des petites oreilles.,668,756,180,1740
83,1,0,Mara est dans ses pensées lorsque l'avion dans lequel elle voyage,368,456,115,1805
83,1,1,perd de l'altitude violemment. Tout le monde commence à hurler.,456,544,141,1779
83,2,0,L'hôtesse de l'air la plus proche s'évanouit.,624,712,375,1545
84,1,0,Ava a acheté un nouveau sac à main de luxe et elle a hâte de le,324,412,141,1779
84,1,1,montrer à ses copines.,412,500,674,1246
84,2,0,Ava est très satisfaite de son achat et elle s'entraîne à défiler,580,668,115,1805
84,2,1,avec dans son salon comme le font les stars.,668,756,388,1532
85,1,0,Megan est en train de bronzer sur son bateau lorsqu'elle entrevoit,236,324,102,1818
85,1,1,une tempête se former à quelques nœuds.,324,412,453,1467
85,2,0,Il commence à pleuvoir et elle essaye de s'abriter. Des vagues de,492,580,115,1805
85,2,1,"plusieurs mètres s'abattent sur le mât du bateau, Megan perd",580,668,180,1740
85,2,2,l'équilibre et tombe dans l'eau. Elle se bat contre les vagues,668,756,154,1766
85,2,3,"pendant plusieurs minutes mais, exténuée, elle se noie.",756,844,245,1675
86,1,0,Alexandra aimerait adopter un chat et elle espère en trouver un au,324,412,102,1818
86,1,1,refuge.,412,500,869,1051
86,2,0,Mais elle est inquiète car son chien a mauvais caractère et il,580,668,154,1766
86,2,1,pourrait mal réagir à l'arrivée d'un chaton à la maison.,668,756,232,1688
87,1,0,"Mira rentre chez elle en pleine nuit, vers 3 heures du matin,",324,412,167,1753
87,1,1,lorsqu'elle entend une moto arriver rapidement dans son dos et des,412,500,102,1818
87,1,2,cris stridents.,500,588,765,1155
87,2,0,Elle se retourne pour regarder ce qu'il se passe.,668,756,323,1597
88,1,0,Lucille ne trouve pas son portable.,368,456,505,1415
88,2,0,Elle regarde partout dans la maison mais il n'y a pas de trace de,536,624,115,1805
88,2,1,son téléphone.,624,712,778,1142
89,1,0,Lorena est en retard pour son rendez-vous. Elle s'apprête à sortir,324,412,102,1818
89,1,1,mais elle ne trouve pas son téléphone.,412,500,466,1454
89,2,0,Elle se souvient soudain qu'elle l'a laissé dans les cabines à la,580,668,115,1805
89,2,1,gym ce matin.,668,756,791,1129
90,1,0,"Bob regarde une finale de Coupe du monde, son équipe préférée a",324,412,141,1779
90,1,1,des chances de gagner !,412,500,661,1259
90,2,0,"Bob ne quitte pas l'écran des yeux, jusqu'au moment où son équipe",580,668,115,1805
90,2,1,devient enfin championne du monde !,668,756,505,1415
91,1,0,"Lorenzo est à son restaurant favori, il adore y aller car son ami",280,368,115,1805
91,1,1,Aaron est le chef. Lorenzo a hâte de goûter ce qu'Aaron va lui,368,456,154,1766
91,1,2,"préparer vu que chaque fois qu'il mange chez lui, il découvre de",456,544,128,1792
91,1,3,nouvelles saveurs.,544,632,726,1194
91,2,0,"L'attente est plus longue que d'habitude, Lorenzo a très faim.",712,800,154,1766
92,1,0,Mara a bientôt un examen de la plus haute importance.,412,500,271,1649
92,2,0,Elle passe toutes ses journées à la bibliothèque.,580,668,323,1597
93,1,0,Erin voyage en avion.,412,500,687,1233
93,2,0,Elle a bouclé sa ceinture.,580,668,622,1298
94,1,0,"En sortant de l'école, Justine réalise qu'elle a oublié son",368,456,193,1727
94,1,1,téléphone en classe.,456,544,700,1220
94,2,0,Elle décide de retourner à l'école pour le récupérer.,624,712,271,1649
95,1,0,Sam se fait réveiller par l'aboiement de son chien en pleine nuit.,236,324,102,1818
95,1,1,Il se dit que c'est étrange étant donné que son chien est,324,412,219,1701
95,1,2,d'habitude très calme.,412,500,674,1246
95,2,0,Il se lève pour aller voir si son chien va bien. Une fois en bas,580,668,128,1792
95,2,1,"des escaliers, il se frotte les yeux pour être sûr de bien voir ce",668,756,102,1818
95,2,2,qu'il se passe : son chien a une souris dans la gueule.,756,844,245,1675
96,1,0,Justine bronze en pleine mer lorsqu'elle voit une tornade se,368,456,180,1740
96,1,1,former au loin.,456,544,765,1155
96,2,0,Un frisson parcourt sa colonne vertébrale.,624,712,414,1506
