first,second
"Mario est avec un ami lorsqu'ils croisent une fille avec qui ils sont sortis en soirée, mais il ne se rappelle plus son prénom.",L'ami de Mario lui glisse discrètement à l'oreille qu'elle s'appelle Diana.
Erik vient d'acheter des sneakers super rares et il a hâte de voir la tête de ses amis quand il leur dira ce soir.,Les amis d'Erik adorent sa nouvelle paire et le complimentent sur son goût.
"Comme tous les matins, Ana sort son chien.",Le soleil réchauffe sa peau.
Arthur fait la queue à la banque pour retirer de l'argent quand un homme cagoulé et armé entre dans le bâtiment.,Arthur lâche un cri strident et se fait immédiatement tirer dessus. Il meurt avant d'arriver aux urgences.
Matt a une copine.,Il lui fait beaucoup de cadeaux.
Sam rentre à la maison.,Il enlève sa veste.
Lena doit retirer de l'argent.,Elle se rend à la banque près de chez elle.
Jack rentre chez lui et entend des bruits suspects à l'étage. Il est inquiet car il habite seul.,Il marche sur la pointe des pieds en se rapprochant des escaliers.
Cam attend son bus en espérant qu'il ne sera pas trop plein.,"Le bus qui arrive est hors service, Cam continue à attendre."
Paul doit rejoindre un ami pour prendre un café.,Il monte dans le bus pour se rendre au lieu de rendez-vous.
Liam est à la station et il attend son train matinal.,"Lorsque le train arrive, il monte dedans."
Mina vient de marcher sur quelque chose de collant.,Elle regarde sous sa chaussure et voit qu'un chewing-gum est collé à sa semelle.
Megan est en train de bronzer sur son bateau lorsqu'elle entrevoit une tempête se former à quelques nœuds.,"Il commence à pleuvoir et elle essaye de s'abriter. Des vagues de plusieurs mètres s'abattent sur le mât du bateau, Megan perd l'équilibre et tombe dans l'eau. Elle se bat contre les vagues pendant plusieurs minutes mais, exténuée, elle se noie."
Emma se balade dans la rue.,Elle porte des chaussures bleues.
Léonard a envie de manger un bon plat ce soir.,Il va à son restaurant préféré.
Andy est à son restaurant préféré et à son habitude il commande 'La Surprise du Chef' comme plat principal. Il s'agit d'une préparation dans laquelle le chef choisit les ingrédients qu'il souhaite travailler. Andy espère qu'il va aimer.,Un parfum incroyable se dégage du plat surprise. Andy se régale.
Mia se balade avec un ami lorsque soudain il sort un cadeau de son sac.,Son ami lui demande si elle aime le papier cadeau.
Adrien est réveillé par son chien qui aboie en pleine nuit. Il est surpris car son chien n'aboie jamais.,"Il se dit qu'il devrait descendre vérifier ce qu'il se passe mais il est trop fatigué. Il retourne donc dormir, tant pis si ce sont des voleurs."
Lorena est en retard pour son rendez-vous. Elle s'apprête à sortir mais elle ne trouve pas son téléphone.,Elle se souvient soudain qu'elle l'a laissé dans les cabines à la gym ce matin.
Sara a travaillé assidûment pour la thèse qu'elle a rendue le mois passé. Elle espère avoir une bonne note.,"En arrivant en classe, son professeur la félicite immédiatement car sa thèse était excellente: Sara a obtenu un 90% !"
Bruno rentre chez lui.,Il prend son bus.
"Magnus doit rejoindre son ami pour prendre un café, il décide de regarder l'heure sur son portable.",Magnus sort son téléphone mais sa batterie est à plat.
Mara a bientôt un examen de la plus haute importance.,Elle passe toutes ses journées à la bibliothèque.
"Tom regarde un match de foot avec son équipe préférée, ils pourraient gagner la Champions League !","Les deux équipes jouent aussi bien l'une que l'autre, le match est très serré."
"Albert se dirige vers un 'blind-date' que son meilleur ami lui a organisé. À ce qu'il paraît, la fille qu'il va rencontrer est magnifique.","Lorsque Albert la voit arriver, il est immédiatement sous le charme."
Nelly aimerait adopter un chaton et elle espère en trouver un au refuge de la ville.,"Lorsqu'elle arrive au refuge, Nelly identifie immédiatement le chaton de ses rêves: un tout noir avec des petites oreilles."
Jeanne fait des activités touristiques.,Elle prend beaucoup de selfies.
Erin voyage en avion.,Elle a bouclé sa ceinture.
Quelqu'un a dit à Cynthia que l'examen de physique quantique qu'elle redoutait a été annulé.,Elle envoie un e-mail à son professeur en lui demandant si c'est bien le cas. Ce dernier lui confirme que l'examen a été supprimé.
"Elena est de sortie en ville lorsque sa mère l'appelle en panique pour lui demander si elle est bien en sécurité. Elle poursuit, confuse, en criant que quelque chose d'horrible vient d'arriver au centre-ville.",La mère d'Elena lui dit qu'il y a eu une attaque à la bombe et qu'elle doit rentrer à la maison le plus vite possible.
Jade se balade avec une amie.,Elles parlent de leur journée.
Chloé est sur le point de s'endormir lorsque l'avion sur lequel elle voyage commence à faire un bruit sourd depuis le moteur gauche.,"Après quelques minutes, le pilote dit aux passagers qu'une turbine dans le moteur est défectueuse mais que cela ne va pas influencer leur trajet. Il ajoute qu'il ne faut pas paniquer."
"Jim habite seul et il rentre tous les jours du travail à 19h. Mais vendredi dernier, en passant le seuil de sa porte, un bruit inquiétant venant de l'étage l'a surpris.","Après avoir monté les escaliers en courant, il découvre qu'un oiseau s'est introduit dans sa chambre par la fenêtre et a détruit son vase préféré."
Le train de Kim est retardé.,Elle entend qu'il sera retardé de quelques heures à cause d'un problème technique qui affecte les rails de train.
"Lorenzo est à son restaurant favori, il adore y aller car son ami Aaron est le chef. Lorenzo a hâte de goûter ce qu'Aaron va lui préparer vu que chaque fois qu'il mange chez lui, il découvre de nouvelles saveurs.","L'attente est plus longue que d'habitude, Lorenzo a très faim."
Lucille ne trouve pas son portable.,Elle regarde partout dans la maison mais il n'y a pas de trace de son téléphone.
Lisa a travaillé assidûment pour sa thèse de master.,Elle a eu une très bonne note: 85% !
La maman d'Ethan lui envoie un message en disant qu'elle va lui préparer un bon repas.,"Curieux, Ethan essaye de l'appeler pour en savoir plus mais son téléphone s'éteint."
Karen vient de marcher sur quelque chose de collant.,Elle regarde sous sa chaussure mais il n'y a rien.
"Irene aimerait voyager, mais ne sachant pas où aller, elle décide de demander conseil à une agence de voyages.","L'agent lui dit qu'il y a des promotions intéressantes pour Malaga, Barcelone et Rome."
"Comme chaque matin, Eva se promène lorsqu'elle entend une personne crier des mots dans une langue étrangère derrière elle.",Elle se retourne et voit qu'il s'agit d'un homme bourré qui se met à vomir sur le trottoir.
Eva planifie un city-trip à San Francisco.,Elle voudrait trouver un vol pas cher.
Sam est sur Tinder.,Il croise des profils différents et décide s'il souhaite les 'matcher'.
Simon est avec un ami lorsqu'il croise une fille avec qui ils ont fait la fête toute la nuit il y a quelques semaines.,Ils discutent de tout et de rien.
"La valise de Simon, contenant tous ses livres favoris, a été perdue par la compagnie aérienne lors de son dernier vol.",Simon commence à faire la queue pour réclamer sa valise aux objets trouvés.
Elena fait du tourisme lorsqu'elle sent quelque chose de chaud tomber sur son épaule.,Elle regarde son épaule mais il n'y a rien dessus.
Serena entend que son examen d'algèbre a été annulé.,Elle espère que ce soit vrai car elle ne comprend rien en cours.
Justine bronze en pleine mer lorsqu'elle voit une tornade se former au loin.,Un frisson parcourt sa colonne vertébrale.
Kevin est un fervent supporter de l'équipe nationale de football.,Il regarde tous les matchs et connaît les particularités de chaque joueur.
Le bus de Cara est en retard.,Elle continue à attendre.
"Emmanuel est supposé rejoindre son ami pour prendre un verre d'ici peu, donc il décide de vérifier l'heure qu'il est sur son téléphone.",Il est 16h30. Vite ! Il ne lui reste plus que 10 minutes pour le rejoindre.
Maja marche avec un ami lorsqu'il sort un cadeau de son sac.,Elle déballe le cadeau et voit qu'il s'agit du magnifique pull qu'elle voulait depuis des mois.
Sam se fait réveiller par l'aboiement de son chien en pleine nuit. Il se dit que c'est étrange étant donné que son chien est d'habitude très calme.,"Il se lève pour aller voir si son chien va bien. Une fois en bas des escaliers, il se frotte les yeux pour être sûr de bien voir ce qu'il se passe : son chien a une souris dans la gueule."
Il est 4 heures du matin et John est sur le point de s'endormir lorsqu'il entend des coups de feu.,Il sursaute de son lit et regarde par sa fenêtre.
"Nathan a joué à la loterie avec les mêmes numéros qu'il utilise à chaque fois. Cette semaine, il pourrait gagner 3 000 000 d'euros.","Nathan regarde ses numéros par rapport aux numéros gagnants... et c'est le jackpot !!! Il a tous les numéros gagnants, il est maintenant millionnaire !"
Max a un nouveau match sur Tinder !,"Il tente d'ouvrir l'application pour voir de qui il s'agit, mais son téléphone reste figé sur la page d'accueil."
Lucie marche dans la rue lorsqu'elle voit une personne au loin qui ressemble à son cousin Jérémy.,"Lucie essaye d'attirer son attention en hurlant son prénom, en vain."
"En sortant de l'école, Justine réalise qu'elle a oublié son téléphone en classe.",Elle décide de retourner à l'école pour le récupérer.
Emma est en train de courir dans un parc lorsqu'elle voit un homme au loin qui ressemble à son ami Marcus. Elle commence à courir dans sa direction pour vérifier que c'est bien lui.,Emma se rapproche de l'homme et crie: 'Marcus !'. L'homme se retourne en sursautant et la salue chaleureusement.
Mona dort paisiblement dans son lit.,Elle rêve que son chien court dans le jardin.
Leo a commandé un écran sur Amazon.,Il reçoit son colis après 2 jours ouvrables comme prévu.
"Bob regarde une finale de Coupe du monde, son équipe préférée a des chances de gagner !","Bob ne quitte pas l'écran des yeux, jusqu'au moment où son équipe devient enfin championne du monde !"
"Mira rentre chez elle en pleine nuit, vers 3 heures du matin, lorsqu'elle entend une moto arriver rapidement dans son dos et des cris stridents.",Elle se retourne pour regarder ce qu'il se passe.
Matéo est en train de courir pour attraper son bus lorsque son téléphone sonne. Une voix glaciale lui dit qu'un de ses proches a eu un accident.,Matéo s'arrête et le bus lui file sous le nez. Il demande qui est à l'appareil mais la ligne se coupe.
Alexandre joue à la loterie chaque semaine.,Il achète toujours ses tickets chez le même vendeur.
