"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","value","task","sentence_first","sentence_second","presentation_index","rt_ms","sentence","catch_index","sentence_position","catch_type","response_label","correct_response","correct"
"9775","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Une personne toque à la porte de Jim et dépose un colis inattendu.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Jim ouvre sa porte, curieux, mais en prenant le colis entre ses mains, il réalise qu'il est destiné à son voisin.</div>
          </div>
        "," ","html-keyboard-response","10","160978","0.0-7.0-3.0","","reading","Une personne toque à la porte de Jim et dépose un colis inattendu.","Jim ouvre sa porte, curieux, mais en prenant le colis entre ses mains, il réalise qu'il est destiné à son voisin.","1","9775","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","11","162978","0.0-7.0-4.0","","","","","","","","","","","","",""
"10511","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Alexandra aimerait adopter un chat et elle espère en trouver un au refuge.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Mais elle est inquiète car son chien a mauvais caractère et il pourrait mal réagir à l'arrivée d'un chaton à la maison.</div>
          </div>
        "," ","html-keyboard-response","12","173490","0.0-7.0-5.0","","reading","Alexandra aimerait adopter un chat et elle espère en trouver un au refuge.","Mais elle est inquiète car son chien a mauvais caractère et il pourrait mal réagir à l'arrivée d'un chaton à la maison.","2","10511","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","13","175490","0.0-7.0-6.0","","","","","","","","","","","","",""
"11839","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Clara est au centre-ville lorsque son père l'appelle, inquiet, en demandant si elle va bien car une fusillade a éclaté à la gare.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Clara essaie de le calmer et lui dit de la lâcher un peu. Il exagère toujours.</div>
          </div>
        "," ","html-keyboard-response","14","187330","0.0-7.0-7.0","","reading","Clara est au centre-ville lorsque son père l'appelle, inquiet, en demandant si elle va bien car une fusillade a éclaté à la gare.","Clara essaie de le calmer et lui dit de la lâcher un peu. Il exagère toujours.","3","11839","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","15","189330","0.0-7.0-8.0","","","","","","","","","","","","",""
"12175","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Karl est avec un ami lorsqu'ils croisent une fille avec qui ils ont passé la soirée il y a quelques semaines. Karl s'efforce de se rappeler son prénom mais n'y parvient pas.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il continue de discuter avec elle comme si de rien n'était.</div>
          </div>
        "," ","html-keyboard-response","16","201506","0.0-7.0-9.0","","reading","Karl est avec un ami lorsqu'ils croisent une fille avec qui ils ont passé la soirée il y a quelques semaines. Karl s'efforce de se rappeler son prénom mais n'y parvient pas.","Il continue de discuter avec elle comme si de rien n'était.","4","12175","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","17","203506","0.0-7.0-10.0","","","","","","","","","","","","",""
"7711","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Mara est dans ses pensées lorsque l'avion dans lequel elle voyage perd de l'altitude violemment. Tout le monde commence à hurler.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">L'hôtesse de l'air la plus proche s'évanouit.</div>
          </div>
        "," ","html-keyboard-response","18","211218","0.0-7.0-11.0","","reading","Mara est dans ses pensées lorsque l'avion dans lequel elle voyage perd de l'altitude violemment. Tout le monde commence à hurler.","L'hôtesse de l'air la plus proche s'évanouit.","5","7711","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","19","213217","0.0-7.0-12.0","","","","","","","","","","","","",""
"7695","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Quelqu'un toque à la porte de Pierre et dépose un colis inattendu.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Pierre ouvre le colis et découvre un parfum offert par sa copine Sara.</div>
          </div>
        "," ","html-keyboard-response","20","220912","0.0-7.0-13.0","","reading","Quelqu'un toque à la porte de Pierre et dépose un colis inattendu.","Pierre ouvre le colis et découvre un parfum offert par sa copine Sara.","6","7695","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","21","222913","0.0-7.0-14.0","","","","","","","","","","","","",""
"8623","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Nick reçoit un message de sa maman qui lui dit qu'elle a préparé un bon repas pour lui.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Nick rentre avec hâte à la maison et découvre qu'elle lui a fait une pizza, son plat préféré.</div>
          </div>
        "," ","html-keyboard-response","22","231536","0.0-7.0-15.0","","reading","Nick reçoit un message de sa maman qui lui dit qu'elle a préparé un bon repas pour lui.","Nick rentre avec hâte à la maison et découvre qu'elle lui a fait une pizza, son plat préféré.","7","8623","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","23","233537","0.0-7.0-16.0","","","","","","","","","","","","",""
"7599","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Lukas a un nouveau 'match' sur Tinder.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il ouvre l'application et découvre que c'est la jolie fille qu'il avait 'superlikée' plus tôt dans la journée.</div>
          </div>
        "," ","html-keyboard-response","24","241136","0.0-7.0-17.0","","reading","Lukas a un nouveau 'match' sur Tinder.","Il ouvre l'application et découvre que c'est la jolie fille qu'il avait 'superlikée' plus tôt dans la journée.","8","7599","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","25","243136","0.0-7.0-18.0","","","","","","","","","","","","",""
"5551","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Ivan adore faire du voilier.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il part souvent en navigation pendant l'été.</div>
          </div>
        "," ","html-keyboard-response","26","248688","0.0-7.0-19.0","","reading","Ivan adore faire du voilier.","Il part souvent en navigation pendant l'été.","9","5551","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","27","250688","0.0-7.0-20.0","","","","","","","","","","","","",""
"7471","
          <div class=""sentence-container"">
            <div class=""sentence-text"">La maman de Kevin lui envoie un message en lui demandant ce qu'il voudrait manger pour le dîner.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il lui répond qu'il aimerait des lasagnes.</div>
          </div>
        "," ","html-keyboard-response","28","258160","0.0-7.0-21.0","","reading","La maman de Kevin lui envoie un message en lui demandant ce qu'il voudrait manger pour le dîner.","Il lui répond qu'il aimerait des lasagnes.","10","7471","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","29","260160","0.0-7.0-22.0","","","","","","","","","","","","",""
"5391","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Theo prend l'avion pour partir en vacances.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il a préparé une grande valise avec tous ses habits préférés.</div>
          </div>
        "," ","html-keyboard-response","30","265552","0.0-7.0-23.0","","reading","Theo prend l'avion pour partir en vacances.","Il a préparé une grande valise avec tous ses habits préférés.","11","5391","","","","","","",""
"13712","
        <div style=""
          display: flex;
          flex-direction: column;
          align-items: center;
          justify-content: center;
          width: 90vw;
          max-width: 90vw;
          box-sizing: border-box;
          padding: 40px;
          word-wrap: break-word;
          overflow-wrap: break-word;
          white-space: normal;
        "">
          <div style=""
            font-family: 'Courier New', monospace;
            font-size: 40px;
            line-height: 2.2;
            letter-spacing: 2px;
            text-align: center;
            color: #111;
            width: 100%;
            word-wrap: break-word;
            overflow-wrap: break-word;
            white-space: normal;
          "">Avez-vous vu la phrase suivante ?<br><br><em>Paul doit rejoindre un ami pour prendre un café. Il monte dans le bus pour se rendre au lieu de rendez-vous.</em></div>

          <div style=""
            display: flex;
            flex-direction: row;
            gap: 80px;
            margin-top: 60px;
            font-family: 'Courier New', monospace;
            font-size: 28px;
            color: #333;
          "">
            <div style=""text-align:center;"">
              <div style=""font-size: 48px;"">↑</div>
              <div>Oui</div>
            </div>
            <div style=""text-align:center;"">
              <div style=""font-size: 48px;"">↓</div>
              <div>Non</div>
            </div>
          </div>
        </div>
      ","arrowup","html-keyboard-response","31","279263","0.0-7.0-24.0","","catch","Theo prend l'avion pour partir en vacances.","Il a préparé une grande valise avec tous ses habits préférés.","","","Paul doit rejoindre un ami pour prendre un café. Il monte dans le bus pour se rendre au lieu de rendez-vous.","0","12","unseen","Oui","Non","false"
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","32","281263","0.0-7.0-25.0","","","","","","","","","","","","",""
"8239","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Mike est dans un supermarché lorsqu'un homme cagoulé et armé crie: 'Tout le monde au sol, ceci est un hold-up !'</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Les jambes de Mike commencent à trembler.</div>
          </div>
        "," ","html-keyboard-response","33","289503","0.0-7.0-26.0","","reading","Mike est dans un supermarché lorsqu'un homme cagoulé et armé crie: 'Tout le monde au sol, ceci est un hold-up !'","Les jambes de Mike commencent à trembler.","12","8239","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","34","291503","0.0-7.0-27.0","","","","","","","","","","","","",""
"11199","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Kim veut partir en voyage mais elle ne sait pas encore où aller. Elle commence à regarder des destinations sur Google.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle voit qu'il y a des vols pas chers pour Venise ce week-end et elle en réserve un immédiatement.</div>
          </div>
        "," ","html-keyboard-response","35","302703","0.0-7.0-28.0","","reading","Kim veut partir en voyage mais elle ne sait pas encore où aller. Elle commence à regarder des destinations sur Google.","Elle voit qu'il y a des vols pas chers pour Venise ce week-end et elle en réserve un immédiatement.","13","11199","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","36","304703","0.0-7.0-29.0","","","","","","","","","","","","",""
"9183","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Bertrand a joué à la loterie en utilisant ses numéros favoris pour tenter de gagner le jackpot de 4 000 000 €.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il essaie de regarder le tirage de la loterie à la télé, mais il n'y a pas de signal.</div>
          </div>
        "," ","html-keyboard-response","37","313887","0.0-7.0-30.0","","reading","Bertrand a joué à la loterie en utilisant ses numéros favoris pour tenter de gagner le jackpot de 4 000 000 €.","Il essaie de regarder le tirage de la loterie à la télé, mais il n'y a pas de signal.","14","9183","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","38","315887","0.0-7.0-31.0","","","","","","","","","","","","",""
"8463","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Olivia fait un tour touristique lorsque quelque chose de mouillé tombe sur sa tête.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle touche ses cheveux et comprend qu'un pigeon lui a déféqué dessus.</div>
          </div>
        "," ","html-keyboard-response","39","324351","0.0-7.0-32.0","","reading","Olivia fait un tour touristique lorsque quelque chose de mouillé tombe sur sa tête.","Elle touche ses cheveux et comprend qu'un pigeon lui a déféqué dessus.","15","8463","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","40","326351","0.0-7.0-33.0","","","","","","","","","","","","",""
"6847","
          <div class=""sentence-container"">
            <div class=""sentence-text"">C'est la veille du Nouvel An et Mike entend des feux d'artifice toute la nuit.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il met des bouchons d'oreilles pour dormir.</div>
          </div>
        "," ","html-keyboard-response","41","333199","0.0-7.0-34.0","","reading","C'est la veille du Nouvel An et Mike entend des feux d'artifice toute la nuit.","Il met des bouchons d'oreilles pour dormir.","16","6847","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","42","335198","0.0-7.0-35.0","","","","","","","","","","","","",""
"11168","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Soline a travaillé d'arrache-pied sur son devoir le mois passé. Elle se rend en classe et espère recevoir une très bonne note.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Son professeur lui dit qu'il n'a pas encore fini de corriger les devoirs.</div>
          </div>
        "," ","html-keyboard-response","43","346365","0.0-7.0-36.0","","reading","Soline a travaillé d'arrache-pied sur son devoir le mois passé. Elle se rend en classe et espère recevoir une très bonne note.","Son professeur lui dit qu'il n'a pas encore fini de corriger les devoirs.","17","11168","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","44","348366","0.0-7.0-37.0","","","","","","","","","","","","",""
"2943","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Tyler adore les sneakers.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il décide d'en acheter une nouvelle paire.</div>
          </div>
        "," ","html-keyboard-response","45","351309","0.0-7.0-38.0","","reading","Tyler adore les sneakers.","Il décide d'en acheter une nouvelle paire.","18","2943","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","46","353310","0.0-7.0-39.0","","","","","","","","","","","","",""
"14799","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Matéo est en retard pour aller au travail lorsque son téléphone sonne. Ça alors ! On l'appelle toujours au mauvais moment ! Il décroche, nerveux, et une voix froide lui dit qu'un de ses proches a été admis en réanimation à l'hôpital.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">La voix dit à Matéo que son frère vient d'avoir un grave accident de voiture.</div>
          </div>
        "," ","html-keyboard-response","47","368109","0.0-7.0-40.0","","reading","Matéo est en retard pour aller au travail lorsque son téléphone sonne. Ça alors ! On l'appelle toujours au mauvais moment ! Il décroche, nerveux, et une voix froide lui dit qu'un de ses proches a été admis en réanimation à l'hôpital.","La voix dit à Matéo que son frère vient d'avoir un grave accident de voiture.","19","14799","","","","","","",""
"3632","
          <div class=""instructions"">
            <h2>Pause — Recalibration</h2>
            <p>Nous allons recalibrer le suivi oculaire.</p>
            <p>Appuyez sur <strong>ESPACE</strong> pour lancer la recalibration.</p>
          </div>
        "," ","html-keyboard-response","48","371741","0.0-7.0-41.0","","","","","","","","","","","","",""
"","","","call-function","49","384293","0.0-7.0-42.0","","","","","","","","","","","","",""
"1832","
          <div class=""instructions"">
            <h2>Recalibration terminée</h2>
            <p>Appuyez sur <strong>ESPACE</strong> pour continuer la lecture.</p>
          </div>
        "," ","html-keyboard-response","50","386125","0.0-7.0-43.0","","","","","","","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","51","388126","0.0-7.0-44.0","","","","","","","","","","","","",""
"12351","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Simon est en train de courir pour attraper son bus lorsque son téléphone sonne. Une voix glaciale lui dit qu'un de ses proches a eu un accident.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Simon s'arrête et le bus lui file sous le nez. Il demande qui est à l'appareil mais la ligne se coupe.</div>
          </div>
        "," ","html-keyboard-response","52","400476","0.0-7.0-45.0","","reading","Simon est en train de courir pour attraper son bus lorsque son téléphone sonne. Une voix glaciale lui dit qu'un de ses proches a eu un accident.","Simon s'arrête et le bus lui file sous le nez. Il demande qui est à l'appareil mais la ligne se coupe.","20","12351","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","53","402476","0.0-7.0-46.0","","","","","","","","","","","","",""
"5903","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Laura aimerait adopter un chaton.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle va sur Internet pour trouver un refuge.</div>
          </div>
        "," ","html-keyboard-response","54","408380","0.0-7.0-47.0","","reading","Laura aimerait adopter un chaton.","Elle va sur Internet pour trouver un refuge.","21","5903","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","55","410380","0.0-7.0-48.0","","","","","","","","","","","","",""
"8975","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Ava a acheté un nouveau sac à main de luxe et elle a hâte de le montrer à ses copines.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Ava est très satisfaite de son achat et elle s'entraîne à défiler avec dans son salon comme le font les stars.</div>
          </div>
        "," ","html-keyboard-response","56","419356","0.0-7.0-49.0","","reading","Ava a acheté un nouveau sac à main de luxe et elle a hâte de le montrer à ses copines.","Ava est très satisfaite de son achat et elle s'entraîne à défiler avec dans son salon comme le font les stars.","22","8975","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","57","421356","0.0-7.0-50.0","","","","","","","","","","","","",""
"10416","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Connor attend son métro en espérant qu'il ne sera pas trop rempli.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Le métro qui arrive en station déborde de gens, Connor arrive à s'y glisser avec difficulté mais il a du mal à respirer.</div>
          </div>
        "," ","html-keyboard-response","58","431772","0.0-7.0-51.0","","reading","Connor attend son métro en espérant qu'il ne sera pas trop rempli.","Le métro qui arrive en station déborde de gens, Connor arrive à s'y glisser avec difficulté mais il a du mal à respirer.","23","10416","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","59","433772","0.0-7.0-52.0","","","","","","","","","","","","",""
"17119","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Il est 4 heures du matin et Mike s'apprête à aller dormir lorsque soudain il entend un homme crier 'Adieu monde cruel' suivi d'un bruit sourd.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Le souffle coupé, il se lève pour se rapprocher de sa fenêtre. Il a à peine le temps de se frotter les paupières qu'il voit son voisin étendu à terre, inerte.</div>
          </div>
        "," ","html-keyboard-response","60","450892","0.0-7.0-53.0","","reading","Il est 4 heures du matin et Mike s'apprête à aller dormir lorsque soudain il entend un homme crier 'Adieu monde cruel' suivi d'un bruit sourd.","Le souffle coupé, il se lève pour se rapprocher de sa fenêtre. Il a à peine le temps de se frotter les paupières qu'il voit son voisin étendu à terre, inerte.","24","17119","","","","","","",""
"10384","
        <div style=""
          display: flex;
          flex-direction: column;
          align-items: center;
          justify-content: center;
          width: 90vw;
          max-width: 90vw;
          box-sizing: border-box;
          padding: 40px;
          word-wrap: break-word;
          overflow-wrap: break-word;
          white-space: normal;
        "">
          <div style=""
            font-family: 'Courier New', monospace;
            font-size: 40px;
            line-height: 2.2;
            letter-spacing: 2px;
            text-align: center;
            color: #111;
            width: 100%;
            word-wrap: break-word;
            overflow-wrap: break-word;
            white-space: normal;
          "">Avez-vous vu la phrase suivante ?<br><br><em>Irene aimerait voyager, mais ne sachant pas où aller, elle décide de demander conseil à une agence de voyages. L'agent lui dit qu'il y a des promotions intéressantes pour Malaga, Barcelone et Rome.</em></div>

          <div style=""
            display: flex;
            flex-direction: row;
            gap: 80px;
            margin-top: 60px;
            font-family: 'Courier New', monospace;
            font-size: 28px;
            color: #333;
          "">
            <div style=""text-align:center;"">
              <div style=""font-size: 48px;"">↑</div>
              <div>Oui</div>
            </div>
            <div style=""text-align:center;"">
              <div style=""font-size: 48px;"">↓</div>
              <div>Non</div>
            </div>
          </div>
        </div>
      ","arrowdown","html-keyboard-response","61","461275","0.0-7.0-54.0","","catch","Il est 4 heures du matin et Mike s'apprête à aller dormir lorsque soudain il entend un homme crier 'Adieu monde cruel' suivi d'un bruit sourd.","Le souffle coupé, il se lève pour se rapprocher de sa fenêtre. Il a à peine le temps de se frotter les paupières qu'il voit son voisin étendu à terre, inerte.","","","Irene aimerait voyager, mais ne sachant pas où aller, elle décide de demander conseil à une agence de voyages. L'agent lui dit qu'il y a des promotions intéressantes pour Malaga, Barcelone et Rome.","1","25","unseen","Non","Non","true"
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","62","463275","0.0-7.0-55.0","","","","","","","","","","","","",""
"12111","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Robbie se dirige vers le rencard que son meilleur ami lui a arrangé. Selon ce dernier, la fille qu'il va lui présenter est magnifique.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">En allant au rendez-vous, Robbie est très anxieux et il transpire beaucoup comme à son habitude.</div>
          </div>
        "," ","html-keyboard-response","63","475386","0.0-7.0-56.0","","reading","Robbie se dirige vers le rencard que son meilleur ami lui a arrangé. Selon ce dernier, la fille qu'il va lui présenter est magnifique.","En allant au rendez-vous, Robbie est très anxieux et il transpire beaucoup comme à son habitude.","25","12111","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","64","477387","0.0-7.0-57.0","","","","","","","","","","","","",""
"4943","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Mady fait la fête au centre-ville.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle voit beaucoup de personnes qui consomment de l'alcool.</div>
          </div>
        "," ","html-keyboard-response","65","482330","0.0-7.0-58.0","","reading","Mady fait la fête au centre-ville.","Elle voit beaucoup de personnes qui consomment de l'alcool.","26","4943","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","66","484331","0.0-7.0-59.0","","","","","","","","","","","","",""
"3391","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Sara marche vers chez elle au milieu de la nuit.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Des voitures passent le long de la rue.</div>
          </div>
        "," ","html-keyboard-response","67","487722","0.0-7.0-60.0","","reading","Sara marche vers chez elle au milieu de la nuit.","Des voitures passent le long de la rue.","27","3391","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","68","489723","0.0-7.0-61.0","","","","","","","","","","","","",""
"8559","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Comme chaque matin, Sara se balade dans son quartier lorsqu'elle entend quelqu'un chanter bruyamment.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle regarde derrière elle pour comprendre d'où vient cette voix, mais ne voit que des enfants aux alentours.</div>
          </div>
        "," ","html-keyboard-response","69","498282","0.0-7.0-62.0","","reading","Comme chaque matin, Sara se balade dans son quartier lorsqu'elle entend quelqu'un chanter bruyamment.","Elle regarde derrière elle pour comprendre d'où vient cette voix, mais ne voit que des enfants aux alentours.","28","8559","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","70","500283","0.0-7.0-63.0","","","","","","","","","","","","",""
"11999","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Il est 3 heures du matin et Selma marche vers chez elle. Soudain, elle entend une femme crier et une voiture arriver en trombe.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Selma a à peine le temps de comprendre ce qu'il arrive que la voiture la percute. Elle décède sur le coup.</div>
          </div>
        "," ","html-keyboard-response","71","512282","0.0-7.0-64.0","","reading","Il est 3 heures du matin et Selma marche vers chez elle. Soudain, elle entend une femme crier et une voiture arriver en trombe.","Selma a à peine le temps de comprendre ce qu'il arrive que la voiture la percute. Elle décède sur le coup.","29","11999","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","72","514283","0.0-7.0-65.0","","","","","","","","","","","","",""
"4735","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Lena fait son jogging dans un parc.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle croise beaucoup de gens qui font des pique-niques.</div>
          </div>
        "," ","html-keyboard-response","73","519018","0.0-7.0-66.0","","reading","Lena fait son jogging dans un parc.","Elle croise beaucoup de gens qui font des pique-niques.","30","4735","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","74","521019","0.0-7.0-67.0","","","","","","","","","","","","",""
